video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount
Ng_qwlvhrJo,MrBeast,PC Master Race Vs Console Peasants,"['Mr.Beast', 'mr', 'beast', 'pc master race vs console peasants', 'pc master race', 'console peasants', 'which is better pc or console', 'console', 'peasants', 'pc', 'master', 'race']",2015-09-21 23:40:01+00:00,49868.0,2217.0,,277.0,PT1M59S,hd,False,Monday,119.0,0
bzIPun3cVsw,MrBeast,Shia Labeouf Motivates Youtubers!,"['shia', 'leabeouf', 'motivates', 'youtubers', 'just do it', 'nothing is impossible']",2015-09-19 22:53:26+00:00,289456.0,8649.0,,503.0,PT1M28S,hd,False,Saturday,88.0,0
miKQkeq5sbU,MrBeast,Knives In Video Games Cost More Than Real Life????,"['Mr.Beast', 'mr', 'beast', 'csgo', 'knives', 'corambit', 'butterfly knive', 'knife', 'offensice', 'counter strke', 'hundreds', 'of', 'dollars']",2015-09-18 23:57:02+00:00,58113.0,2026.0,,278.0,PT3M43S,hd,False,Friday,223.0,0
Lwt_VThQIdM,MrBeast,"Why I Sold My PS4, Not A Gaming Channel???","['Mr.Beast', 'mr', 'beast', 'ps4', 'sold', 'not', 'gaming', 'channel', 'video']",2015-09-18 00:21:53+00:00,49037.0,2022.0,,287.0,PT4M6S,hd,False,Friday,246.0,0
P2oPACr4uuU,MrBeast,Selling PS4 For $250 + Elgato For $100!,"['Mr.Beast', 'mr', 'beast', 'playstaion', 'elgato', 'game', 'capture', 'selling', 'selling my playstation']",2015-09-16 22:26:34+00:00,46620.0,1471.0,,280.0,PT2M38S,hd,False,Wednesday,158.0,0
h-D6ukDcS9o,MrBeast,Do Tags Do Anything On Youtube?????,"['Mr.Beast', 'mr', 'beast', 'do tags do anything?', 'why', 'am', 'I writing tags', 'if that do', 'nothing?', 'idk', 'I love youtube']",2015-09-13 20:48:10+00:00,124399.0,5124.0,,621.0,PT3M37S,hd,False,Sunday,217.0,0
mY77HA20MzA,MrBeast,Bronze And Platinum Play Buttons?????,"['Mr.Beast', 'mr', 'beast', '10k', 'subs', 'subscribers', 'bronze', 'play', 'button', 'bronze play button', 'platinum', 'platinum play button', 'diamond', 'gold', 'silver', 'play button']",2015-09-13 00:23:55+00:00,889923.0,26749.0,,2480.0,PT4M23S,hd,False,Sunday,263.0,0
4krBgDFycgY,MrBeast,7k SUBS! Smashing Ghost + AW! Plus Channel Talk!,"['Mr.Beast', 'mr', 'beast', 'ghost', 'and', 'advanced warfare', 'smashing', 'crushing', 'worst cods', 'worst', 'cod', 'ever', '7k', 'subs', 'subscribers']",2015-09-09 21:48:18+00:00,72181.0,2880.0,,357.0,PT4M58S,hd,False,Wednesday,298.0,0
dpUxRIqbNlc,MrBeast,Exility vs Dr.Pineapplez - Misleading Contest!,"['Mr.Beast', 'mr', 'beast', 'exility', 'vs', 'drpineapplez', 'is', 'just', 'joke', 'misleading', 'who', 'the', 'most', 'pewdiepie is sexy']",2015-09-08 22:06:36+00:00,46583.0,4251.0,,816.0,PT4M18S,hd,False,Tuesday,258.0,0
Cp431S5z8PE,MrBeast,6 Uses For Your Advanced Warfare Disk!,"['Mr.Beast', 'mr', 'beast', 'six', 'uses', 'for', 'your', 'advanced', 'ar', 'warfare', 'disk']",2015-09-07 20:40:56+00:00,46549.0,1790.0,,331.0,PT1M5S,hd,False,Monday,65.0,0
ttLYXcza4j4,MrBeast,MrBeast’s Outro Song,"['Mr.Beast', 'mr', 'beast', 'song', 'whobilly']",2015-09-05 20:15:02+00:00,8480257.0,385628.0,,19708.0,PT2M11S,hd,False,Saturday,131.0,0
3-f9DEFsh4w,MrBeast,Watching Video Games Is A Waste Of Time????,"['Mr.Beast', 'mr', 'beast', 'watching', 'video', 'games', 'is', 'watse', 'of', 'time', 'is watching video games a waste of time', 'pewdiepie', 'gay']",2015-09-05 16:14:19+00:00,46484.0,1623.0,,388.0,PT4M10S,hd,False,Saturday,250.0,0
vuOTP206zWM,MrBeast,"Pewdiepie's Shoutout, What Would You Do If You Won?","['Mr.Beast', 'mr', 'beast', 'pewdiepie', 'shout', 'out', 'contest', 'pewdiepie shout out contest', 'what', 'would', 'you', 'do', 'if', 'won', 'I.', 'like', 'apples']",2015-09-05 00:49:25+00:00,49274.0,1961.0,,312.0,PT4M38S,hd,False,Saturday,278.0,0
J590MYm0SY8,MrBeast,How I Will Survive The Zombie Apocalypse!,"['Mr.Beast', 'mr', 'beast', 'how', 'will', 'survive', 'the', 'zombie', 'apocalypse', 'how I will survive the zombie apocalypse']",2015-08-31 22:11:06+00:00,224415.0,6647.0,,753.0,PT6M1S,hd,False,Monday,361.0,0
vGB2d5cQJpY,MrBeast,How Much Money Do Youtubers Make? Real Numbers!,"['Mr.Beast', 'mr', 'beast', 'how much money do youtubers make', 'how', 'much', 'do', 'youtubers', 'make', 'real', 'numbers', 'pewdiepie', 'is', 'gay']",2015-08-30 21:37:55+00:00,316830.0,9276.0,,574.0,PT3M14S,hd,False,Sunday,194.0,0
M94G0iKYiSM,MrBeast,HONEST Shout Out Sunday! Free Subscribers!,"['Mr.Beast', 'mr', 'beast', 'honest', 'shout', 'out', 'sunday', 'free', 'subscribers']",2015-08-30 18:06:45+00:00,46409.0,1555.0,,554.0,PT3M30S,hd,False,Sunday,210.0,0
